Geneid	Chr	Start	End	Strand	Length	SRR5364307.sorted.sorted.bam	SRR5364314.sorted.sorted.bam	SRR5364310.sorted.sorted.bam	SRR5364311.sorted.sorted.bam	SRR5364309.sorted.sorted.bam	SRR5364312.sorted.sorted.bam	SRR5364308.sorted.sorted.bam	SRR5364304.sorted.sorted.bam	SRR5364313.sorted.sorted.bam	SRR5364305.sorted.sorted.bam	SRR5364303.sorted.sorted.bam	SRR5364306.sorted.sorted.bam
NM_058170	chr1	101802566	101997234	-	194669	4	7	3	12	5	1	6	4	4	1	6	5
NM_080629	chr1	102876466	103108496	-	232031	2	2	3	0	0	0	0	1	2	0	0	2
NM_001113228	chr1	107148068	107484899	+	336832	1	1	4	2	2	1	0	1	3	1	6	3
NM_006113	chr1	107571160	107965180	-	394021	2	37	4	2	2	3	2	3	63	1	7	6
NM_172198	chr1	111775831	111989155	-	213325	1	8	4	1	0	2	0	3	8	1	6	1
NM_152900	chr1	113390514	113685923	+	295410	1429	4713	2031	2847	1935	1978	1377	1264	4563	1464	1090	1282
NM_206996	chr1	117953590	118185228	-	231639	224	639	272	482	315	229	231	249	753	251	197	224
NM_001329984	chr1	121184974	121392874	+	207901	827	1167	1119	1390	1068	959	709	698	1140	820	544	689
NM_018156	chr1	12230029	12512046	+	282018	10272	14699	11560	14740	11759	8761	8240	9732	12742	10847	9819	8597
NM_001271870	chr1	144887190	145095316	-	208127	321	421	460	545	423	349	300	279	357	351	287	290
NM_018489	chr1	155335267	155562803	-	227537	6834	6644	8096	8941	8150	5972	6686	7458	5862	7398	6533	6551
NM_007348	chr1	161766319	161964070	+	197752	4916	5674	5029	6652	5474	3516	4311	4746	5108	5207	4682	4294
NM_001353130	chr1	164559721	164851823	+	292103	32	54	38	46	34	22	26	50	63	33	37	43
NM_002697	chr1	167220885	167427340	+	206456	4257	4486	5386	6469	5048	4304	4198	4090	4044	4228	3417	3931
NM_197972	chr1	169132529	169367963	-	235435	1370	1902	1469	2072	1595	1113	1292	1258	1779	1345	1065	1218
NM_001278252	chr1	171841497	172133392	+	291896	117	297	176	229	154	202	131	127	300	153	95	127
NM_003285	chr1	175315194	175743595	-	428402	4	15	2	9	2	6	4	3	13	2	5	2
NM_022457	chr1	175944830	176207286	-	262457	5848	5607	6553	7746	6674	4467	5816	6245	5028	6476	5370	5796
NM_021936	chr1	176463174	176691205	+	228032	13	29	9	15	15	16	9	9	33	11	11	7
NM_001286164	chr1	176857304	177164904	-	307601	51	127	61	66	64	45	34	60	139	75	81	42
NM_170692	chr1	178094103	178484149	+	390047	192	399	236	310	241	185	197	229	398	209	171	174
NM_152663	chr1	178725243	178921840	+	196598	285	588	410	474	384	390	292	234	475	267	223	276
NM_144696	chr1	179365970	179554735	+	188766	145	195	163	200	142	145	98	80	243	100	85	93
NM_032360	chr1	180288229	180502577	-	214349	4512	4194	4560	5462	4855	3090	4256	5062	3537	5153	4306	4439
NM_004736	chr1	180632021	180890279	+	258259	6306	7003	7499	8490	7279	5581	6132	6271	6135	6585	5353	5821
NM_032880	chr1	18107797	18378483	+	270687	6	13	4	6	3	9	2	14	35	4	7	3
NM_001205294	chr1	181483516	181808084	+	324569	4	43	4	5	5	3	3	6	70	4	5	1
NM_015149	chr1	183636108	183928543	+	292436	64	320	97	141	99	94	71	59	314	66	60	48
NM_030806	chr1	184387028	184629019	+	241992	13	52	29	30	20	27	20	26	68	14	22	20
NM_052966	chr1	184791031	184974508	-	183478	7904	13864	4759	10702	8426	4337	3635	6445	12857	8249	7721	4508
NM_031935	chr1	185734390	186190949	+	456560	132	414	163	337	173	139	121	74	529	100	93	89
NM_001317188	chr1	190097666	190476010	-	378345	69	81	80	148	93	76	65	62	69	78	41	39
NM_198503	chr1	196225780	196608440	-	382661	339	564	266	531	399	231	242	265	541	372	304	212
NM_001257965	chr1	197201503	197478455	+	276953	389	554	435	620	462	586	276	272	700	418	256	398
NM_015326	chr1	206205428	206464443	+	259016	1461	2639	2191	2225	1822	1495	1486	1539	2236	1543	1375	1410
NM_025179	chr1	208022242	208244384	-	222143	291	528	352	316	289	259	279	409	600	314	309	378
NM_001198802	chr1	20806291	21176897	-	370607	5781	4178	6008	6623	6121	4037	5072	6276	3866	6420	5978	5453
NM_001256006	chr1	209938173	210164288	+	226116	5	42	12	23	15	13	5	5	48	11	13	10
NM_172362	chr1	210678313	211134148	-	455836	15	26	20	21	14	17	16	16	43	15	18	20
NM_012424	chr1	213051240	213274774	+	223535	5571	11352	5861	8643	6793	4728	4761	5128	9677	5829	4886	4635
NM_005401	chr1	214348701	214551602	-	202902	4	42	12	18	10	7	2	9	53	9	6	5
NM_206933	chr1	215622890	216423448	-	800559	7	7	7	2	4	8	7	7	10	5	5	2
NM_001243513	chr1	216503245	216939673	-	436429	3	1	4	3	4	2	0	2	1	3	2	2
NM_138796	chr1	217631343	217871696	+	240354	14	53	25	40	26	19	14	6	50	13	9	18
NM_032890	chr1	222815038	223005995	+	190958	154	327	167	245	189	223	135	186	325	175	191	147
NM_014826	chr1	226989864	227318492	-	328629	14500	19314	16521	20888	16894	12044	14968	16154	17820	15785	13636	14836
NM_001309193	chr1	22710838	22921500	+	210663	7	57	16	29	10	22	9	12	81	7	13	12
NM_004481	chr1	230067237	230282122	+	214886	7126	11780	11051	10943	8972	7650	6866	6727	10922	7736	6495	6838
NM_014801	chr1	232983434	233295725	-	312292	35	130	48	65	31	42	25	22	141	14	18	19
NM_173508	chr1	233904675	234324511	+	419837	48	118	52	51	44	48	49	59	98	51	43	39
NM_000081	chr1	235661030	235866927	-	205898	402	1096	544	841	553	534	393	323	1161	381	324	345
